"Prey","PreyGene","WT_UB_WT_BR_SaintScore","WT_UB_WT_BR_log2FoldChange","WT_UB_WT_BR_MG_SaintScore","WT_UB_WT_BR_MG_log2FoldChange","WT_KO_BR_SaintScore","WT_KO_BR_log2FoldChange","WT_KO_BR_MG_SaintScore","WT_KO_BR_MG_log2FoldChange","SE_UB_WT_BR_SaintScore","SE_UB_WT_BR_log2FoldChange","SE_UB_WT_BR_MG_SaintScore","SE_UB_WT_BR_MG_log2FoldChange","SE_KO_BR_SaintScore","SE_KO_BR_log2FoldChange","SE_KO_BR_MG_SaintScore","SE_KO_BR_MG_log2FoldChange"
"Q9NQC7-2","CYLD",1,5.19652836093694,0.65,4.05918219921169,0.98,4.7371459197762,0.31,2.73768676140986,0.66,4.7371459197762,0.99,5.32192809488736,0.33,3.32192809488736,0.33,3.73660487531425
"Q09666","AHNAK",1,5.8245132973348,1,5.05874941233552,0.99,5.98481717429359,0.33,3.32192809488736,0.87,3.4594316186373,0.93,3.16992500144231,1,5.54442356218942,0.65,5.43729433149714
"Q9UM54-6","MYO6",1,5.98481717429359,0.67,5.73687542290827,1,6.64385618977472,0.67,4.90689059560852,1,6.90689059560852,1,7.0588576212267,0.67,5.98481717429359,0.67,6.260590274731
"P21333-2","FLNA",1,4.7371459197762,1,4.36946648365072,1,2.07724299893246,0.62,1.28688114778816,0.93,3.10097764772482,0.99,3.18269229751619,1,8.22881869049588,0.99,7.61963309577915
"P35579","MYH9",1,5.90689059560852,1,6.12928301694497,0.94,3.64385618977472,0.31,1.58496250072116,0.11,1.20789285164133,0.06,0.6959938131099,1,5.8245132973348,1,5.43729433149714
"Q16666-2","IFI16",1,6.260590274731,1,6.43746079951105,1,6.94637996751037,0.98,6.12928301694497,1,6.94637996751037,1,6.59499633654093,1,7.43737756790512,1,6.59499633654093
"P27816-2","MAP4",1,5.32192809488736,1,5.05874941233552,0.99,5.19652836093694,0.66,4.7371459197762,1,5.32192809488736,1,6.12928301694497,0.66,5.32192809488736,0.67,5.43729433149714
"Q9Y490","TLN1",1,6.43746079951105,1,6.32192809488736,1,6.38076407498511,0.66,5.54442356218942,0.98,4.08746284125034,0.84,3.24792751344359,0.65,5.43729433149714,0.33,3.73660487531425
"P68371","TUBB4B",0.99,5.43729433149714,0.65,4.05918219921169,0.17,1,0,-0.494109070270043,0.13,0.807354922057604,0.39,1.32192809488736,0.08,0,0.25,0.584962500721156
"Q13813","SPTAN1",0.98,4.7371459197762,0.32,2.73768676140986,0.98,4.7371459197762,0.33,3.73660487531425,0.3,1,0.25,0.584962500721156,NA,NA,NA,NA
